Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;
Distributed Description Logics: Assimilating Information from Peer Sources;Journal on Data Semantics I;;;;10.1007/978-3-540-39733-5_7;Alex BorgidaLuciano Serafini;2003;http://link.springer.com/chapter/10.1007/978-3-540-39733-5_7;Chapter;;;;
Applying Formal Concept Analysis to Description Logics;Concept Lattices;;;;10.1007/978-3-540-24651-0_24;Franz BaaderBaris Sertkaya;2004;http://link.springer.com/chapter/10.1007/978-3-540-24651-0_24;Chapter;;;;
Carnap; Goguen; and the Hyperontologies: Logical Pluralism and Heterogeneous Structuring in Ontology Design;Logica Universalis;4;10.1007/s11787-010-0020-3;Oliver KutzTill MossakowskiDominik L«¨cke;2010;http://link.springer.com/article/10.1007/s11787-010-0020-3;Article;;;;
Description Logics with Contraries; Contradictories; and Subcontraries;New Generation Computing;;10.1007/s00354-007-0028-2;Ken Kaneiwa;2007;http://link.springer.com/article/10.1007/s00354-007-0028-2;Article;;;;
Reasoning in Description Logics by a Reduction to Disjunctive Datalog;Journal of Automated Reasoning;;39;3;10.1007/s10817-007-9080-3;Ullrich HustadtBoris MotikUlrike Sattler;2007;http://link.springer.com/article/10.1007/s10817-007-9080-3;Article;;;;
Modeling the Evolution of Objects in Temporal Information Systems;Foundations of Information and Knowledge Systems;;;;10.1007/11663881_3;A. ArtaleC. ParentS. Spaccapietra;2006;http://link.springer.com/chapter/10.1007/11663881_3;Chapter;;;;
Combining Description Logics; Description Graphs; and Rules;Frontiers of Combining Systems;;10.1007/978-3-642-04222-5_3;Boris Motik;2009;http://link.springer.com/chapter/10.1007/978-3-642-04222-5_3;Chapter;;;;
A Tableau Algorithm for Description Logics with Concrete Domains and GCIs;Automated Reasoning with Analytic Tableaux and Related Methods;;;;10.1007/11554554_16;Carsten LutzMaja Miliéçié?;2005;http://link.springer.com/chapter/10.1007/11554554_16;Chapter;;;;
An Architecture Description Language Based on Dynamic Description Logics;Intelligent Information Processing VI;;;;10.1007/978-3-642-32891-6_21;Zhuxiao WangHui PengJing GuoYing ZhangKehe WuHuan XuXiaofeng Wang;2012;http://link.springer.com/chapter/10.1007/978-3-642-32891-6_21;Chapter;;;;
Reasoning and Query Answering in Description Logics;Reasoning Web. Semantic Technologies for Advanced Query Answering;;;;10.1007/978-3-642-33158-9_1;Magdalena OrtizMantas èˇimkus;2012;http://link.springer.com/chapter/10.1007/978-3-642-33158-9_1;Chapter;;;;
